token,occurrence
daraus,238
amtssprache,238
stellte,238
grund,237
see,237
schweden,237
norwegen,237
kleinere,236
niederlande,235
1960,234
selben,234
feiertage,234
anerkannt,233
weblinks,232
32,232
nato,232
verbunden,231
flora,231
hongkong,231
singapur,231
gold,230
gelten,230
fauna,230
syrien,230
n,229
demokratie,229
ägypten,229
gründung,229
vollständig,228
ernannt,228
volk,228
aktive,228
spielt,227
jeder,227
verkehr,227
tage,227
philippinen,226
einzelnachweise,226
moderne,226
mittlerweile,226
sprechen,226
1975,225
tradition,225
guinea,225
180,224
abkommen,224
einführung,224
volkszählung,224
konflikt,223
viel,222
bürgerkrieg,222
süd,222
ausgebaut,221
ausländischen,221
gehen,221
fest,221
export,221
kolonialzeit,221
1980,220
mann,220
artikel,220
europas,220
handel,220
nördlich,219
ließ,219
tod,219
bewegung,218
erklärt,218
dänemark,217
nordwesten,217
staatsverschuldung,217
33,216
spanisch,216
nationalversammlung,215
sitz,214
flughäfen,214
65,214
straße,214
bewohner,214
staatsoberhaupt,213
weltmeisterschaft,213
ursprünglich,212
arbeiten,212
gemeinschaft,212
fluss,212
sicherheit,211
seen,211
angola,211
band,211
schule,211
ganzen,211
mw,210
sierra,210
südosten,210
1986,210
soziale,209
du,209
sudan,208
nordkorea,208
costa,208
allein,208
finnland,208
territorium,208
gegensatz,208
münchen,207
reihe,207
800,207
grenzt,207
katholische,207
wiederum,207
östlich,207
frühen,207
privaten,206
geführt,206
wien,206
daraufhin,205
litauen,205
puerto,205
armenien,205
seines,205
einheimischen,205
römisch,204
infolge,204
global,204
wachstum,204
belarus,203
stammen,203
belgien,203
energie,203
existiert,203
auflage,203
million,203
rechte,203
durchschnittliche,203
führen,202
sri,202
del,202
unesco,202
rumänien,202
55,202
folgte,202
öl,202
1970,201
kasachstan,201
nigeria,201
jahrzehnten,201
arbeit,201
arabisch,201
ländlichen,201
einzelnen,201
zuletzt,201
ehemalige,201
general,201
vietnam,200
ost,200
1973,200
unterstützt,199
mali,199
air,199
ausnahme,199
ozean,198
verbindung,198
bestimmt,198
per,198
uruguay,197
t,197
reformen,197
gehörte,197
viertel,197
hafen,197
belegte,196
abgeordneten,196
zugleich,196
architektur,196
38,196
durchschnittlich,195
errichtet,195
briten,195
freiheit,195
34,195
kirchen,195
peter,194
selten,194
übernahm,194
bericht,194
islamische,194
hinzu,194
l,193
keinen,193
37,193
monarchie,192
raum,192
gemeinsam,192
religiöse,192
förderung,192
senegal,192
demokratischen,192
weltbank,192
nationalmannschaft,192
ethnischen,191
südwesten,191
probleme,191
zeitungen,191
bekanntesten,190
bereiche,190
alten,189
monate,189
1985,189
london,189
grönland,189
völker,189
1988,188
gesellschaftlichen,188
schloss,188
amtszeit,188
zusätzlich,187
stelle,187
regionale,187
familie,187
krise,187
150,186
äthiopien,186
zahlen,186
folgen,186
größtenteils,186
russisch,186
pressefreiheit,186
afrikas,186
schwarzen,186
cricket,185
tv,185
kroatien,185
herkunft,185
hochland,185
laos,185
familien,184
vorwiegend,184
politisch,184
press,184
ghana,184
alter,184
sender,184
weg,184
gesetze,183
erhielten,183
commonwealth,183
nahe,183
katholischen,183
mitgliedern,183
investitionen,183
arabische,183
lokalen,182
kommission,182
bestätigt,182
besiedelt,182
nachfolger,182
gesamtbevölkerung,182
ergibt,181
1948,181
temperaturen,181
strecke,181
letzte,180
aufgenommen,180
jemen,180
nähe,180
ministerpräsident,179
kindern,179
reiches,179
saint,179
sogenannte,179
mussten,179
staatsausgaben,179
versorgung,179
verhältnis,179
bundesstaaten,179
1984,178
bulgarien,178
1987,178
42,178
wirtschaftsleistung,178
berg,178
zeitraum,178
frei,177
außer,177
uno,177
1983,177
straßennetz,177
85,177
amnesty,176
nahezu,176
rugby,176
1974,176
parlamentswahlen,176
seien,176
neuer,176
golf,175
mittel,175
wichtigen,175
druck,175
flüchtlinge,175
aserbaidschan,175
48,175
erdgas,174
41,174
1946,174
anhänger,174
bolivien,174
höher,174
internationaler,173
sodass,173
36,173
marokko,173
gingen,173
polnischen,173
51,173
moldau,173
43,172
folgende,172
misst,172
ethnien,172
peru,172
chinesischen,171
marine,171
übrigen,171
website,171
werte,171
amerikanische,171
andorra,171
zwölf,170
setzt,170
galt,170
39,170
hektar,170
seiten,170
machte,169
einrichtungen,169
zuständig,169
betroffen,169
religiösen,169
weist,169
ausbau,168
einwanderer,168
verloren,168
metern,167
beitritt,167
lässt,167
nationalparks,167
nehmen,167
beteiligt,167
libyen,167
spanische,166
marino,166
erfolgreich,166
44,166
sklaven,166
sank,166
party,166
bank,166
1982,166
sozialen,166
modernen,166
1976,165
armut,165
brachte,165
studenten,165
anderer,165
ethnische,165
weiterer,165
welches,165
langen,164
heißt,164
straßenverkehr,164
botschaft,164
handelt,164
1962,163
paris,163
haushaltsdefizit,163
passive,163
stil,163
sektor,163
1950,162
verfügen,162
schätzungen,162
elfenbeinküste,162
liberia,162
verlor,162
linie,162
zumeist,162
ganze,162
sieht,162
1961,161
gefolgt,161
versammlung,161
unruhen,161
unabhängige,161
verwaltungsgliederung,161
47,160
westlich,160
algerien,160
nacional,160
1918,160
ähnlich,160
700,160
nauru,159
volksgruppen,159
militärischen,159
währung,159
gemacht,159
1972,159
bosnien,159
port,158
1950er,158
malaysia,158
maßnahmen,158
fernsehen,158
regierungschef,158
botswana,158
netz,158
museum,158
staatspräsident,157
lebenden,157
gemeinde,157
eingesetzt,157
dritten,157
dürfen,157
250,157
bevölkerungswachstum,157
verstärkt,157
south,157
kenia,157
gleichen,156
besitz,156
indigenen,156
senat,156
entwickelten,156
krieges,156
64,156
häfen,156
angebaut,156
beziehungsweise,156
womit,156
nutzung,156
lokale,156
gebaut,155
landschaft,155
gegründete,155
jedes,155
geboren,155
östlichen,155
gründen,155
gambia,155
behörden,154
1971,154
monaco,154
abgeschafft,154
staatsgebiet,154
arbeitslosenquote,154
erstreckt,154
gebildet,154
verantwortlich,154
gefördert,154
grundlage,154
exporte,154
journalisten,154
wuchs,154
polnische,153
beschlossen,153
usbekistan,153
gestellt,153
john,153
vergangenheit,153
josé,153
vielzahl,153
russlands,153
bildeten,153
kandidaten,153
1949,153
programm,153
wichtiger,152
exportiert,152
banken,152
entsprechend,152
bietet,152
kulturellen,152
referendum,152
erfolg,152
roten,152
georgien,152
politiker,152
for,152
groß,152
politisches,152
72,152
natur,151
türkischen,151
indonesien,151
einmal,151
jede,151
bedeutendsten,151
zusammenhang,151
problem,151
afrikanische,151
tunesien,150
fallen,150
46,150
united,150
bildete,150
kolonien,150
verfügung,149
zufolge,149
1978,149
gericht,149
1981,149
namibia,149
geschlossen,149
filme,149
geworden,149
staatlich,148
organisiert,148
dynastie,148
ruanda,148
franzosen,148
estland,148
dienstleistungen,148
einsatz,148
unterteilt,148
eisenbahn,148
haus,148
kaiser,148
ihn,148
widerstand,148
le,148
jungen,148
parlaments,147
punkt,147
durchgeführt,147
kulturelle,147
1963,147
niederschläge,147
fall,147
1956,147
3000,147
auswärtigen,146
reis,146
lettland,146
albanien,146
informationen,146
alte,146
breite,146
auseinandersetzungen,146
río,146
abstand,146
christlichen,146
54,146
tätig,145
besten,145
hochschulen,145
westliche,145
importiert,145
beeinflusst,145
strom,145
1968,145
einschließlich,144
europäer,144
wettbewerbsfähigkeit,144
einkommen,144
kilometern,144
regional,144
ältesten,144
rang,144
einheimische,144
gewonnen,144
kommunistischen,144
minister,144
mongolei,144
120,144
quelle,144
allgemein,144
ausländer,143
1947,143
niger,143
somalia,143
allgemeinen,143
versuchte,143
todesstrafe,143
1941,143
herzegowina,143
oberste,142
titel,142
ministerpräsidenten,142
regionalen,142
kampf,142
bekannteste,142
wirtschaftlich,142
wovon,142
libanon,142
lagen,142
york,142
versucht,142
institutionen,142
1967,142
unabhängigen,142
rat,141
bedroht,141
sohn,141
1958,141
heiligen,141
liga,141
produkte,141
geringen,141
korea,141
ort,141
abhängig,141
getötet,141
49,141
öffentlich,141
erdbeben,140
größe,140
stammt,140
muttersprache,140
hervor,140
stunden,140
honduras,140
hinter,140
historischen,140
52,140
verlassen,139
burkina,139
elf,139
würde,139
bangladesch,139
62,139
eröffnet,139
konflikte,139
inselgruppe,139
griechischen,139
beschäftigten,139
römischen,139
schnell,139
schriftsteller,138
bundesrepublik,138
verläuft,138
starben,138
act,138
nachbarstaaten,138
siedlungen,138
vegetation,138
ihres,138
koalition,138
indiens,138
geringe,138
verteilt,138
gehörten,138
77,138
guatemala,138
gibraltar,138
verhandlungen,138
besetzt,137
besondere,137
95,137
chinesische,137
regenzeit,137
inhaltlich,137
wohl,137
blieben,137
beliebt,137
vorkommen,137
geschaffen,137
katar,137
erfolge,137
gerichte,137
fällt,137
ausgesetzt,137
oecd,137
opfer,136
mittleren,136
gering,136
deutscher,136
männern,136
iranischen,136
nation,136
vorbild,136
57,136
bedingt,136
hoher,136
färöer,136
zeitung,136
moskau,135
weißen,135
ausbildung,135
salvador,135
rest,135
vereinigte,135
cia,135
dominiert,134
1920,134
leone,134
legislative,134
53,134
nutzten,134
jüdischen,134
genannten,134
competitiveness,134
bedingungen,134
zeigt,134
beschäftigt,134
amtes,134
damaligen,134
lanka,133
weltweiten,133
1965,133
verbreitete,133
indigene,133
produziert,133
militärische,133
et,133
großes,133
sozialistischen,132
bislang,132
italienischen,132
jeweiligen,132
palästina,132
kritik,132
karibik,132
alt,132
erlangte,132
aufstand,132
landesfläche,132
besitzen,132
höhepunkt,132
folgender,132
58,132
regime,131
zerstört,131
iii,131
möglichkeit,131
dahin,131
73,131
aktiv,131
1940,131
faso,131
arbeitslosigkeit,130
frankfurt,130
täglich,130
folgten,130
angegeben,130
suriname,130
endete,130
tschad,130
78,130
projekt,130
paul,130
gelegene,130
abgeordnete,129
ecuador,129
bedeutet,129
laufe,129
1964,129
erlaubt,129
militärs,129
habe,129
slowakische,129
betreibt,129
bestimmte,129
frankreichs,129
kleineren,129
seither,128
irland,128
sollten,128
gerichtshof,128
ali,128
nie,128
autoren,128
einwohnerzahl,128
daran,128
wesentlichen,128
66,128
arbeitskräfte,128
künstler,127
exekutive,127
erheblich,127
gründete,127
bedeckt,127
mauritius,127
zone,127
geplant,127
1969,127
japanischen,127
festland,127
obersten,127
gewinnen,127
importe,127
datenbank,127
politischer,127
kosten,126
1500,126
nächsten,126
hierbei,126
zweitgrößte,126
dienstleistungssektor,126
kambodscha,126
älteste,126
christentum,126
1944,126
slowenien,126
unterhält,126
halten,126
verbindungen,126
dient,126
besiedlung,125
hiv,125
bahn,125
airlines,125
gouverneur,125
praktisch,125
übernommen,125
unterzeichnet,125
bedeutendste,125
denn,125
außenhandel,125
frieden,125
tansania,125
türkische,125
thomas,124
besiedelten,124
buddhismus,124
sozialistische,124
bay,124
1977,124
niederlanden,124
christliche,124
dank,124
staatsbürger,124
angesehen,124
inflation,124
mädchen,123
einwanderung,123
1966,123
myanmar,123
folgt,123
61,123
theater,123
99,123
jamaika,123
ersetzt,123
einflüsse,123
tragen,123
santa,123
nahmen,123
kabinett,123
kaffee,123
aufgaben,122
osmanischen,122
barrel,122
angehörige,122
staatspräsidenten,122
erschlossener,122
bieten,122
online,122
gemeinsame,122
wodurch,122
lateinamerika,122
history,122
maschinen,122
andererseits,122
verbindet,122
früheren,122
sieg,122
erreichten,121
löste,121
68,121
fürstentum,121
63,121
ehemals,121
begriff,121
zentralen,121
höheren,121
76,121
haiti,121
aufbau,121
98,121
antarktis,121
würden,121
presse,121
67,121
geben,120
waffen,120
spanier,120
1959,120
trägt,120
nations,120
italienische,120
quadratkilometer,120
fahrzeuge,120
ausdehnung,120
person,120
quellen,120
phase,120
gewesen,120
jordanien,120
sitzen,120
56,120
o,120
1955,119
bruttoinlandsprodukts,119
dienen,119
spannungen,119
portugiesischen,119
landesweit,119
entdeckt,119
ergebnis,119
europäischer,119
beschränkt,119
gebracht,119
zeitpunkt,119
jüdische,119
anstieg,119
parlamentswahl,119
freien,119
präsidentschaftswahlen,119
niedrigen,119
niederländischen,119
grad,119
gute,118
kim,118
74,118
erhebung,118
exil,118
stämme,118
weiteres,118
autonomie,118
zypern,118
wirtschaftswachstum,118
indizes,118
entfernt,118
gelegenen,117
praxis,117
traditionen,117
besuchen,117
kuwait,117
paraguay,117
1919,117
fernsehsender,117
bevölkerungsdichte,117
wüste,117
stärker,117
begannen,117
freie,117
werke,117
stärksten,117
bekämpfung,117
taliban,116
warschauer,116
eingerichtet,116
interessen,116
boden,116
mosambik,116
muslimischen,116
genommen,116
studie,116
spitze,116
lesotho,116
ferner,116
gemessen,116
staatlicher,116
schweren,116
cup,116
gemeinsamen,116
bringen,116
föderation,115
landwirtschaftlichen,115
schlacht,115
bergen,115
fiel,115
musiker,115
wachsen,115
59,115
bekannten,115
ob,115
ebenen,115
verlauf,114
fällen,114
hamburg,114
historische,114
schrift,114
jan,114
zentrale,114
tiere,114
angeboten,114
oman,114
grand,114
holz,114
richter,114
nachbarn,114
katholiken,114
to,113
forderte,113
siedler,113
parlamentarische,113
gespielt,113
bahrain,113
präsidentschaftswahl,113
são,113
1939,113
khmer,113
panama,113
niveau,113
gegeben,113
belize,113
usd,113
folter,113
ha,113
wesentlich,113
kaufkraftparität,112
karl,112
vieler,112
heer,112
abstammung,112
nicaragua,112
anerkennung,112
wälder,112
benachbarten,112
regierungen,112
monaten,112
weltkriegs,112
83,112
kamerun,112
besetzung,112
unterschiedlichen,112
luftwaffe,112
jährigen,111
bereichen,111
71,111
zentren,111
schulpflicht,111
city,111
erfolgt,111
mittlere,111
basis,111
reichen,111
vorhanden,111
kong,111
fort,111
proteste,111
137,111
bedeutenden,110
partido,110
zeugen,110
anders,110
mehrheitlich,110
weder,110
welcher,110
park,110
niederschlag,110
160,110
trotzdem,110
gebäude,110
schwer,110
sultan,109
sahara,109
turkmenistan,109
sehen,109
regenwald,109
asien,109
vielfalt,109
dänischen,109
australischen,109
steuern,109
stellung,109
themen,108
gemüse,108
tschechien,108
bergbau,108
weite,108
nahrungsmittel,108
pflanzen,108
orte,108
michael,108
strecken,108
nationaler,108
dritte,108
geburten,108
madagaskar,108
bhutan,108
george,108
japanische,108
meeresspiegel,108
verbot,108
eritrea,108
eingeschränkt,108
verschiedener,108
vergangenen,107
schwere,107
landwirtschaftliche,107
heraus,107
x,107
gewässer,107
hauptinsel,107
kämpfen,107
portugiesische,107
indische,107
jedem,107
persischen,107
samoa,107
daten,107
1954,107
festgelegt,107
gaben,107
zustand,107
rio,107
verurteilt,107
robert,106
rica,106
wald,106
aufgeteilt,106
verfolgt,106
vermutlich,106
ressourcen,106
standard,106
gekennzeichnet,106
slowakischen,106
programme,106
bestimmten,106
geld,106
eng,106
reiche,106
chinesen,106
malawi,106
frühere,105
pierre,105
orthodoxe,105
vergleichsweise,105
frühjahr,105
generation,105
pedro,105
pdf,105
bratislava,105
abgeschlossen,105
wissenschaft,105
england,105
council,105
lande,105
asphaltiert,105
namens,105
main,105
klasse,105
reporter,105
qualität,105
handelspartner,105
ausländischer,105
sowjetischen,104
81,104
facto,104
leicht,104
uganda,104
gesehen,104
vae,104
städtischen,104
thema,104
restlichen,104
900,104
brunei,104
fidschi,104
house,104
david,104
wort,104
fisch,104
gliedert,104
monat,103
haushalte,103
orthodoxen,103
bleibt,103
energien,103
fischerei,103
angenommen,103
hong,103
finanziert,103
neues,103
1932,103
anbau,103
bezeichnete,103
wählen,103
airport,102
formen,102
martin,102
mannschaft,102
herrscher,102
79,102
angewiesen,102
führer,102
dienst,102
umwelt,102
distrikte,102
umstritten,102
jährlichen,102
integration,102
gewählten,102
nahen,102
gewählte,102
sportarten,101
protesten,101
registriert,101
markt,101
abu,101
schwarze,101
staatsbürgerschaft,101
zeitweise,101
beschloss,101
dänische,101
69,101
eroberung,101
tatsächlich,101
stellten,101
feste,101
einerseits,101
könnte,101
österreichischen,101
glauben,101
tonga,101
leistung,101
jean,101
betrachtet,101
gegliedert,101
verbreitung,101
israels,101
landwirtschaftlich,101
einzigen,100
nepal,100
gewerkschaften,100
niederlage,100
aktivitäten,100
van,100
gebrauch,100
berge,100
frage,100
anschluss,100
diplomatische,100
souveränität,100
schlecht,100
fluggesellschaft,100
mittelalter,100
unterschiede,100
sanktionen,100
ziele,100
diplomatischen,100
direkte,100
mitgliedschaft,100
englischen,100
machten,100
erscheinen,99
plan,99
flächen,99
autonomen,99
zeiten,99
wasserkraft,99
beginnt,99
bauten,99
weiße,99
museen,99
schienenverkehr,99
alpen,99
diktatur,99
sah,99
sturz,99
historisch,99
herbst,99
5000,99
tagen,99
gesundheitswesen,99
gezählt,99
mission,98
tanz,98
außenminister,98
parallel,98
abschluss,98
werk,98
force,98
hand,98
carlos,98
pazifischen,98
africa,98
82,98
transport,98
kleiner,98
kongress,98
ermordet,98
reicht,98
volksabstimmung,98
erhoben,98
verwaltet,98
putsch,98
97,98
darin,98
forschung,97
äußersten,97
circa,97
besetzten,97
höhere,97
verhältnisse,97
84,97
1930,97
nachkommen,97
endgültig,97
nachbarländern,97
deutschlands,97
simbabwe,97
amerika,97
besucht,97
iwf,97
ungarischen,97
betreiben,97
einheit,97
pazifik,97
bundesstaat,97
aufgehoben,97
kubanischen,97
gefeiert,96
mais,96
rückgang,96
weltmeisterschaften,96
verabschiedet,96
garantiert,96
strukturen,96
kennzahlen,96
getrennt,96
zürich,96
telekommunikation,96
